elector;nuts;vote_json
"eostotheboom;220;{""eosdtbpproxy.producers"":[""eoscannonchn"",""paytomateosp"",""eosnodeonebp"",""eoshuobipool"",""hkeoshkeosbp""]}"
"rickyshi1234;300.7;{""eosdtbpproxy.producers"":[""eosiomeetone""]}"
"guzdknutgage;101.1688;{""eosdtbpproxy.producers"":[""eosnodeonebp"",""eoscafeblock"",""eoscannonchn"",""eosnationftw"",""eosiodetroit""]}"
"cafenutvotes;55;{""eosdtbpproxy.producers"":[""eosiodetroit"",""eoscannonchn"",""eosnodeonebp"",""eosasia11111"",""eosnationftw""]}"
"weallneedeos;80;{""eosdtbpproxy.producers"":[""eoscafeblock"",""eosasia11111""]}"
"weallneed111;30;{""eosdtbpproxy.producers"":[""atticlabeosb"",""paytomateosp"",""eosasia11111"",""eoshuobipool""]}"
"johngaltjohn;84;{""eosdtbpproxy.producers"":[""eosphereiobp"",""eosnewyorkio"",""eosauthority"",""eos42freedom"",""infinitybloc""]}"
"humangnome23;47.2397;{""eosdtbpproxy.producers"":[""eosphereiobp"",""alohaeosprod"",""hkeoshkeosbp"",""argentinaeos"",""eoscannonchn""]}"
"ares11111111;25;{""eosdtbpproxy.producers"":[""eosphereiobp"",""eostitanprod"",""eosiomeetone"",""alohaeosprod"",""argentinaeos""]}"
"sungjaechung;150.9279;{""eosdtbpproxy.producers"":[""eosphereiobp"",""eoscafeblock"",""hkeoshkeosbp"",""argentinaeos"",""eosnodeonebp""]}"
"eoscafenutzz;50;{""eosdtbpproxy.producers"":[""eosnationftw"",""eosiodetroit"",""eoscannonchn"",""hkeoshkeosbp"",""eosasia11111""]}"
"odin22222222;25;{""eosdtbpproxy.producers"":[""alohaeosprod""]}"
"osiris444444;25;{""eosdtbpproxy.producers"":[""eosnewyorkio""]}"
"neptune33333;25;{""eosdtbpproxy.producers"":[""atticlabeosb""]}"
